id,female,age,state
519,1,44,3
520,1,41,1
521,0,77,2
522,0,49,3
523,0,51,3
524,0,95,1
525,1,62,1
526,0,63,3
527,0,40,2
528,1,91,3
529,0,43,1
530,0,67,3
531,1,96,3
532,1,51,3
533,0,44,3
534,0,94,2
535,1,41,2
536,0,58,1
537,0,50,2
538,0,47,3
539,1,71,1
540,0,44,2
541,0,86,2
542,1,42,1
543,0,91,3
544,0,49,3
545,1,44,2
546,0,42,1
547,1,98,3
548,0,63,1
549,1,66,3
550,1,68,3
551,0,81,2
552,0,62,1
553,0,86,1
554,1,89,3
555,1,99,3
556,0,98,1
557,1,60,1
558,0,78,1
559,1,50,3
560,1,90,1
561,0,58,1
562,0,60,3
563,0,61,2
564,0,82,2
565,1,87,1
566,0,61,2
567,0,66,1
568,0,88,1
569,0,87,1
570,1,75,3
571,1,59,1
572,1,95,3
573,1,89,3
574,0,42,2
575,0,54,2
576,0,70,1
577,0,95,3
578,1,47,1
579,1,68,2
580,0,76,1
581,0,59,3
582,1,71,3
583,0,45,1
584,0,89,1
585,1,47,1
586,0,57,2
587,1,68,3
588,0,69,1
589,0,65,3
590,1,82,2
591,1,57,2
592,1,41,1
593,1,59,1
594,1,50,2
595,1,83,2
596,0,71,3
597,0,61,3
598,1,98,1
599,0,59,3
600,0,45,1
601,1,95,3
602,0,93,2
603,1,77,3
604,1,71,2
605,0,98,2
606,1,90,1
607,0,70,3
608,0,76,3
609,1,88,2
610,0,98,1
611,1,54,2
612,0,53,1
613,1,64,1
614,1,62,2
615,0,56,2
616,0,54,1
617,1,82,1
618,0,63,1
619,1,44,2
620,0,91,3
621,0,70,1
622,1,74,1
623,1,51,3
624,1,57,2
625,0,52,3
626,0,81,2
627,0,57,1
628,0,54,2
629,0,82,2
630,0,47,1
631,0,78,2
632,0,85,2
633,1,82,3
634,0,81,1
635,1,84,2
636,0,75,3
637,1,80,1
638,0,78,3
639,0,51,1
640,0,94,3
641,1,40,2
642,0,85,3
643,0,100,2
644,0,60,3
645,0,68,1
646,1,45,2
647,0,42,3
648,0,44,2
649,0,40,1
650,0,88,2
651,0,49,3
652,0,51,3
653,0,69,3
654,1,80,2
655,0,86,2
656,1,82,1
657,0,97,1
658,0,52,3
659,1,54,1
660,1,80,1
661,1,68,2
662,0,48,1
663,1,53,1
664,1,41,1
665,1,45,2
666,1,88,2
667,0,55,2
668,0,53,1
669,1,52,3
670,1,80,1
671,1,64,3
672,1,57,2
673,0,82,2
674,1,84,2
675,0,48,3
676,0,75,2
677,1,49,2
678,1,43,3
679,1,90,3
680,1,58,3
681,1,74,3
682,0,85,3
683,1,78,2
684,1,53,2
685,0,92,2
686,0,56,1
687,1,86,2
688,0,97,2
689,1,49,2
690,0,41,3
691,1,78,2
692,0,82,2
693,1,67,2
694,1,47,1
695,0,66,2
696,0,72,3
697,1,99,3
698,0,47,2
699,0,62,2
700,0,46,1
701,0,89,1
702,1,100,1
703,0,44,1
704,1,44,1
705,0,65,2
706,0,96,1
707,0,58,1
708,0,46,2
709,0,88,2
710,1,46,3
711,1,63,1
712,0,82,2
713,1,61,1
714,0,51,1
715,1,79,2
716,0,55,3
717,0,71,2
718,0,89,2
719,1,79,3
720,1,57,1
721,0,94,3
722,0,88,3
723,0,64,3
724,0,66,3
725,1,93,3
726,1,41,1
727,0,83,3
728,1,52,1
729,1,76,2
730,1,58,3
731,1,64,1
732,0,48,1
733,1,46,2
734,0,40,2
735,1,55,1
736,1,59,2
737,0,69,3
738,0,53,3
739,1,83,1
740,0,71,2
741,0,75,2
742,0,97,3
743,0,54,1
744,0,49,3
745,1,51,3
746,1,71,2
747,0,40,1
748,0,51,3
749,1,50,2
750,0,46,3
751,0,63,2
752,0,74,2
753,1,48,2
754,1,53,1
755,1,67,2
756,0,55,2
757,1,85,1
758,1,74,3
759,0,79,1
760,0,58,3
761,0,86,2
762,1,82,1
763,1,40,1
764,0,64,1
765,1,92,3
766,1,67,3
767,1,58,2
768,0,98,3
769,0,72,3
770,0,72,2
771,1,78,3
772,1,67,3
773,1,51,2
774,1,71,2
775,1,44,3
776,0,88,3
777,1,49,1
778,0,51,1
779,1,42,2
780,0,49,1
781,1,77,3
782,0,85,3
783,0,58,2
784,0,87,2
785,0,90,1
786,1,75,3
787,1,50,1
788,0,91,2
789,1,89,3
790,0,60,1
791,0,85,1
792,0,45,1
793,1,42,2
794,0,60,2
795,1,72,2
796,0,96,3
797,1,77,3
798,0,48,1
799,0,87,2
800,0,75,1
801,1,95,2
802,0,43,1
803,1,79,1
804,0,48,1
805,0,71,3
806,1,66,1
807,0,53,1
808,1,44,1
809,0,95,3
810,0,91,1
811,1,84,3
812,0,90,3
813,1,76,3
814,1,90,2
815,1,41,1
816,0,90,3
817,1,66,3
818,1,44,3
819,0,84,3
820,0,80,3
821,0,78,2
822,0,62,2
823,0,73,2
824,1,69,2
825,1,58,3
826,0,100,2
827,1,75,1
828,1,94,2
829,1,95,1
830,0,50,3
831,1,100,2
832,0,69,3
833,0,98,1
834,1,55,1
835,1,100,2
836,1,48,2
837,0,69,1
838,1,65,2
839,1,70,2
840,0,44,1
841,0,94,3
842,0,95,3
843,0,42,3
844,1,90,2
845,1,40,1
846,1,48,3
847,1,44,3
848,1,83,1
849,0,47,3
850,0,70,3
851,0,40,3
852,0,90,2
853,0,94,1
854,1,58,3
855,1,66,2
856,0,64,2
857,1,68,1
858,0,73,1
859,0,57,3
860,1,63,2
861,0,51,2
862,1,41,3
863,1,45,3
864,1,40,3
865,0,93,1
866,0,45,1
867,1,100,3
868,1,79,3
869,1,40,3
870,0,86,3
871,0,62,2
872,0,47,2
873,1,84,1
874,1,70,2
875,0,74,1
876,0,79,1
877,0,83,1
878,0,71,1
879,0,97,3
880,1,76,2
881,1,85,2
882,1,89,1
883,1,95,3
884,0,72,1
885,0,52,1
886,0,42,3
887,0,50,1
888,1,60,3
889,1,44,3
890,0,62,1
891,0,96,3
892,0,87,2
893,0,68,2
894,1,74,2
895,0,68,2
896,1,41,2
897,1,84,1
898,0,100,3
899,1,54,2
900,1,46,2
901,0,80,2
902,1,78,3
903,1,73,1
904,1,45,1
905,0,49,1
906,0,99,1
907,0,87,3
908,1,85,3
909,0,45,3
910,0,41,2
911,1,68,2
912,1,76,3
913,1,61,1
914,1,56,2
915,1,72,3
916,0,97,3
917,0,86,1
918,0,75,1
919,1,90,3
920,1,91,2
921,1,74,1
922,0,94,3
923,0,63,2
924,0,43,3
925,1,47,3
926,1,55,1
927,1,72,2
928,0,57,2
929,0,59,2
930,1,87,2
931,0,98,1
932,1,59,1
933,0,89,1
934,0,88,3
935,0,100,3
936,0,94,1
937,1,90,2
938,0,62,3
939,1,57,1
940,0,74,2
941,0,46,1
942,1,42,1
943,1,62,1
944,0,52,2
945,0,72,2
946,0,46,3
947,0,93,2
948,0,92,2
949,1,40,3
950,1,46,3
951,0,60,1
952,1,64,2
953,1,52,1
954,0,83,1
955,0,69,3
956,1,78,2
957,1,99,1
958,1,86,3
959,1,56,1
960,0,60,3
961,0,97,3
962,0,60,2
963,0,60,3
964,0,40,2
965,0,50,1
966,1,85,2
967,1,92,1
968,0,75,3
969,1,92,2
970,1,54,2
971,1,49,2
972,0,56,1
973,0,92,3
974,1,52,3
975,1,96,3
976,1,71,1
977,1,43,3
978,0,87,2
979,0,58,1
980,1,52,2
981,1,40,2
982,0,89,2
983,1,90,1
984,1,84,3
985,1,99,1
986,0,42,2
987,1,96,2
988,1,69,2
989,1,78,3
990,1,66,2
991,0,91,3
992,0,92,1
993,0,75,1
994,0,96,2
995,1,81,3
996,1,94,2
997,0,95,3
998,1,83,1
999,1,92,3
1000,0,43,3
1001,1,40,3
1002,1,90,1
1003,0,62,3
1004,0,92,1
1005,1,71,2
1006,1,98,2
1007,1,48,2
1008,0,88,3
1009,0,64,1
1010,1,93,2
1011,1,95,2
1012,1,95,3
1013,1,80,1
1014,1,76,3
1015,0,67,2
1016,1,56,2
1017,0,51,2
1018,1,56,2
1019,1,65,3
1020,1,51,3
1021,1,68,1
1022,0,94,2
1023,1,100,3
1024,1,92,2
1025,0,95,1
1026,1,41,3
1027,0,96,2
1028,1,80,2
1029,0,83,1
1030,0,45,3
1031,1,78,3
1032,0,87,1
1033,0,65,3
1034,1,91,3
1035,1,53,1
1036,0,76,1
1037,1,65,1
1038,1,81,2
1039,1,74,1
1040,1,94,2
1041,0,76,1
1042,1,46,1
1043,1,63,3
1044,0,68,1
1045,1,66,1
1046,1,45,3
1047,1,47,1
1048,1,50,1
1049,1,51,2
1050,1,47,3
1051,0,81,1
1052,1,61,1
1053,0,73,3
1054,1,75,1
1055,0,44,3
1056,1,58,3
1057,0,40,2
1058,0,80,1
1059,0,46,3
1060,0,72,3
1061,0,42,2
1062,1,65,2
1063,1,88,2
1064,1,79,2
1065,0,90,2
1066,0,66,1
1067,0,94,2
1068,1,69,3
1069,1,65,3
1070,1,66,3
1071,1,76,2
1072,0,43,3
1073,1,51,2
1074,0,61,2
1075,1,42,3
1076,0,43,3
1077,1,53,1
1078,0,62,2
1079,0,70,1
1080,0,57,2
1081,0,64,1
1082,1,81,1
1083,1,94,1
1084,0,84,1
1085,0,70,2
1086,0,93,2
1087,1,58,2
1088,0,47,3
1089,1,45,2
1090,0,80,3
1091,1,81,2
1092,1,40,3
1093,0,68,2
1094,0,53,2
1095,1,82,3
1096,1,62,2
1097,0,43,3
1098,1,61,2
1099,1,41,1
1100,1,46,1
1101,1,87,1
1102,0,75,3
1103,0,60,3
1104,0,46,3
1105,1,99,1
1106,0,85,1
1107,0,60,3
1108,1,67,2
1109,0,43,2
1110,0,91,1
1111,1,47,1
1112,0,92,3
1113,0,44,2
1114,0,57,1
1115,0,65,2
1116,1,97,1
1117,0,60,1
1118,1,95,3
1119,1,61,2
1120,1,85,3
1121,0,67,1
1122,0,74,1
1123,0,82,1
1124,0,88,1
1125,1,45,3
1126,0,52,2
1127,0,80,3
1128,0,85,1
1129,1,47,2
1130,1,93,2
1131,1,50,1
1132,1,71,2
1133,0,73,3
1134,0,48,2
1135,0,51,3
1136,1,52,3
1137,1,47,2
1138,1,88,1
1139,1,84,2
1140,1,72,2
1141,0,57,3
1142,0,78,3
1143,1,96,2
1144,0,99,1
1145,1,71,2
1146,0,51,2
1147,0,76,2
1148,0,84,1
1149,0,69,2
1150,0,99,2
1151,1,94,3
1152,0,54,3
1153,1,40,2
1154,1,82,2
1155,1,83,2
1156,0,100,3
1157,1,50,2
1158,0,61,3
1159,0,93,2
1160,1,97,3
1161,1,76,3
1162,0,78,3
1163,0,72,1
1164,0,77,1
1165,0,82,2
1166,0,77,3
1167,0,94,1
1168,1,58,2
1169,0,84,1
1170,0,58,1
1171,0,67,1
1172,0,99,2
1173,0,85,1
1174,1,49,2
1175,0,80,1
1176,1,40,3
1177,0,81,1
1178,0,86,2
1179,1,73,2
1180,1,92,2
1181,1,74,3
1182,1,100,3
1183,1,64,1
1184,0,71,2
1185,0,47,1
1186,0,91,2
1187,1,64,1
1188,1,50,1
1189,1,46,2
1190,1,58,2
1191,0,95,1
1192,0,96,1
1193,0,79,1
1194,0,74,3
1195,0,95,2
1196,0,71,1
1197,1,68,2
1198,0,84,3
1199,0,57,1
1200,0,91,3
1201,1,82,2
1202,0,41,3
1203,0,92,2
1204,0,51,2
1205,0,84,3
1206,0,54,3
1207,0,95,1
1208,0,84,2
1209,1,67,2
1210,0,96,1
1211,1,95,2
1212,0,51,1
1213,0,76,1
1214,0,76,3
1215,1,68,2
1216,1,61,2
1217,1,50,3
1218,1,59,1
1219,0,85,2
1220,0,73,1
1221,0,47,3
1222,0,76,3
1223,0,97,1
1224,1,63,3
1225,1,79,1
1226,0,61,3
1227,1,44,3
1228,1,58,3
1229,1,71,1
1230,1,92,3
1231,0,84,3
1232,1,91,1
1233,1,67,1
1234,1,95,2
1235,0,79,2
1236,0,52,2
1237,1,99,3
1238,1,96,1
1239,0,56,1
1240,1,94,3
1241,0,56,3
1242,0,76,2
1243,1,94,3
1244,0,75,1
1245,1,93,2
1246,1,40,1
1247,0,71,2
1248,0,80,1
1249,0,95,3
1250,1,41,1
1251,0,44,1
1252,0,74,3
1253,1,79,1
1254,0,51,1
1255,0,46,3
1256,0,80,3
1257,0,77,1
1258,1,63,3
1259,1,87,2
1260,1,73,1
1261,0,57,1
1262,0,57,3
1263,0,92,1
1264,1,83,1
1265,0,72,1
1266,1,61,1
1267,0,100,2
1268,0,71,2
1269,1,81,3
1270,1,46,3
1271,0,65,3
1272,0,56,1
1273,0,95,1
1274,0,44,1
1275,0,40,2
1276,0,80,2
1277,0,100,2
1278,1,90,1
1279,1,68,1
1280,1,90,2
1281,0,84,3
1282,1,56,1
1283,0,48,2
1284,1,62,1
1285,0,99,3
1286,0,82,1
1287,0,56,2
1288,0,92,1
1289,1,97,1
1290,0,40,1
1291,0,61,2
1292,1,58,3
1293,1,47,2
1294,0,82,1
1295,0,89,1
1296,0,87,1
1297,0,51,2
1298,1,66,3
1299,0,92,2
1300,1,60,3
1301,0,65,2
1302,0,91,1
1303,1,59,2
1304,1,52,2
1305,1,67,1
1306,0,45,2
1307,1,89,3
1308,0,57,2
1309,1,70,3
1310,1,69,1
1311,1,44,2
1312,1,45,1
1313,0,55,1
1314,0,77,2
1315,1,63,2
1316,0,53,1
1317,0,96,2
1318,1,99,3
1319,0,48,1
1320,1,77,1
1321,0,75,3
1322,1,43,2
1323,0,67,1
1324,1,85,1
1325,0,59,1
1326,1,88,2
1327,0,42,2
1328,1,91,3
1329,0,77,2
1330,1,56,2
1331,0,61,3
1332,1,51,3
1333,1,98,1
1334,1,97,3
1335,0,87,3
1336,1,43,3
1337,0,56,1
1338,1,49,2
1339,1,50,1
1340,1,75,3
1341,0,85,1
1342,1,83,1
1343,1,74,1
1344,0,75,2
1345,0,95,1
1346,1,96,1
1347,0,95,2
1348,1,88,2
1349,0,63,2
1350,0,44,2
1351,0,67,3
1352,0,83,1
1353,0,61,2
1354,0,43,1
1355,0,50,2
1356,0,93,1
1357,1,70,2
1358,0,52,1
1359,1,80,3
1360,0,99,3
1361,0,66,3
1362,0,91,1
1363,1,62,2
1364,1,63,1
1365,1,89,2
1366,1,94,2
1367,0,95,3
1368,0,72,2
1369,1,86,3
1370,1,69,2
1371,1,53,3
1372,1,85,2
1373,1,55,1
1374,1,40,3
1375,0,40,1
1376,1,61,3
1377,0,76,2
1378,1,84,2
1379,1,48,2
1380,0,59,2
1381,1,60,1
1382,1,42,2
1383,1,87,2
1384,1,46,2
1385,1,97,1
1386,0,97,3
1387,0,40,2
1388,1,50,1
1389,0,77,2
1390,1,94,3
1391,0,44,3
1392,1,99,3
1393,1,72,1
1394,0,54,1
1395,1,49,1
1396,1,76,2
1397,1,55,2
1398,0,95,3
1399,1,56,3
1400,1,77,1
1401,1,95,2
1402,1,89,3
1403,0,62,2
1404,1,86,3
1405,1,41,1
1406,0,90,3
1407,1,64,2
1408,1,93,3
1409,0,100,3
1410,1,51,2
1411,0,67,2
1412,0,74,1
1413,0,64,3
1414,1,63,2
1415,1,88,1
1416,1,65,2
1417,1,98,3
1418,0,58,3
1419,0,75,1
1420,1,82,2
1421,0,69,1
1422,0,87,1
1423,0,81,2
1424,1,59,2
1425,1,47,1
1426,0,68,2
1427,0,54,2
1428,1,70,2
1429,0,52,1
1430,0,94,2
1431,0,51,1
1432,1,78,1
1433,0,40,3
1434,1,88,3
1435,1,94,3
1436,0,88,2
1437,0,55,2
1438,1,77,3
1439,1,82,2
1440,0,88,3
1441,0,64,3
1442,0,44,3
1443,0,66,3
1444,0,67,2
1445,1,78,2
1446,0,84,3
1447,1,63,1
1448,0,51,3
1449,0,79,2
1450,1,81,2
1451,1,53,1
1452,1,77,3
1453,1,49,2
1454,0,55,2
1455,1,65,3
1456,1,58,2
1457,0,40,3
1458,0,62,3
1459,0,53,2
1460,0,41,2
1461,1,54,1
1462,1,92,1
1463,0,84,3
1464,1,63,2
1465,0,70,2
1466,1,40,3
1467,1,57,2
1468,0,95,3
1469,0,48,1
1470,0,89,3
1471,0,98,3
1472,1,53,2
1473,0,47,1
1474,1,49,2
1475,1,77,1
1476,1,72,2
1477,0,66,3
1478,1,51,1
1479,0,65,2
1480,1,89,3
1481,1,94,1
1482,1,61,3
1483,0,62,1
1484,1,74,3
1485,0,97,1
1486,0,84,3
1487,1,47,2
1488,0,97,2
1489,0,49,3
1490,0,56,2
1491,1,83,2
1492,1,58,1
1493,0,77,1
1494,0,82,3
1495,1,59,2
1496,0,59,3
1497,1,65,3
1498,0,77,2
1499,1,54,1
1500,1,71,3
1501,0,49,2
1502,0,60,3
1503,1,90,3
1504,1,49,3
1505,1,96,3
1506,0,83,2
1507,1,76,1
1508,0,62,2
1509,0,91,1
1510,0,42,1
1511,1,43,1
1512,0,100,3
1513,1,91,1
1514,1,65,1
1515,1,47,1
1516,0,97,2
1517,0,59,1
1518,1,67,1
1519,0,44,2
1520,0,91,3
1521,1,53,1
1522,1,80,2
1523,0,68,3
1524,0,76,1
1525,1,51,1
1526,1,75,3
1527,0,54,3
1528,0,53,3
1529,0,51,2
1530,0,82,3
1531,0,70,1
1532,0,88,1
1533,0,87,1
1534,1,88,2
1535,0,54,1
1536,1,93,1
1537,1,46,2
1538,1,60,2
1539,0,42,3
1540,1,63,1
1541,0,80,2
1542,0,86,2
1543,0,52,1
1544,0,44,2
1545,0,75,3
1546,0,75,3
1547,1,54,1
1548,1,59,3
1549,1,76,3
1550,1,95,1
1551,1,96,3
1552,1,73,2
1553,1,64,3
1554,0,44,2
1555,0,52,3
1556,1,80,2
1557,1,58,3
1558,0,45,2
1559,0,59,1
1560,1,95,2
1561,1,76,2
1562,0,50,3
1563,0,47,1
1564,0,84,3
1565,1,64,2
1566,0,45,3
1567,0,97,1
1568,0,70,3
1569,1,45,2
1570,0,77,3
1571,1,61,3
1572,0,62,3
1573,0,42,1
1574,0,69,1
1575,1,65,1
1576,1,65,2
1577,0,77,1
1578,0,96,2
1579,1,75,2
1580,0,48,1
1581,0,42,3
1582,1,42,2
1583,0,82,1
1584,1,74,1
1585,1,40,2
1586,0,79,3
1587,1,56,3
1588,1,58,2
1589,1,56,1
1590,1,93,2
1591,1,70,1
1592,0,58,2
1593,1,96,1
1594,0,74,2
1595,1,65,3
1596,0,95,2
1597,1,80,3
1598,1,84,1
1599,1,61,3
1600,1,85,1
1601,1,41,2
1602,0,94,1
1603,1,89,2
1604,1,50,3
1605,0,71,1
1606,0,82,2
1607,1,68,2
1608,0,45,3
1609,0,84,3
1610,0,65,2
1611,0,81,3
1612,1,81,1
1613,1,60,2
1614,1,72,1
1615,0,66,3
1616,1,55,3
1617,0,74,3
1618,0,91,3
1619,0,83,1
1620,1,47,3
1621,1,62,1
1622,1,81,3
1623,0,45,1
1624,0,45,2
1625,0,64,2
1626,1,83,1
1627,0,58,2
1628,0,79,2
1629,0,63,3
1630,0,63,1
1631,0,63,3
1632,0,42,3
1633,1,95,2
1634,0,100,1
1635,0,79,2
1636,1,81,2
1637,1,41,3
1638,0,84,2
1639,0,84,1
1640,0,77,2
1641,1,44,3
1642,0,88,3
1643,0,79,2
1644,1,97,3
1645,1,42,1
1646,1,42,1
1647,1,62,2
1648,1,76,2
1649,0,93,1
1650,0,57,3
1651,0,62,2
1652,1,79,1
1653,0,50,1
1654,1,56,3
1655,1,52,1
1656,0,58,1
1657,1,64,2
1658,0,63,2
1659,1,92,3
1660,0,89,1
1661,1,88,2
1662,0,76,3
1663,1,89,3
1664,1,95,1
